|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| túi xách viney                          | VND      |                    50 | 0%                      | 0%                                | Cao            |                         100 |                             |                              |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| túi xách vuông nữ                       | VND      |                   500 | 0%                      | -90%                              | Cao            |                         100 |                        1018 |                         2800 |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| túi xách ví nữ                          | VND      |                    50 | 0%                      | 0%                                | Trung bình     |                          50 |                             |                              |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| túi xách văn phòng nữ                   | VND      |                    50 | 0%                      | 0%                                | Cao            |                         100 |                        1018 |                         3842 |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| túi xách vải bố nữ                      | VND      |                    50 | 0%                      | 0%                                | Cao            |                         100 |                        1282 |                        15100 |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| túi xách vải dù nữ                      | VND      |                    50 | 0%                      | 0%                                | Cao            |                         100 |                             |                              |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| túi xách vải nữ                         | VND      |                    50 | 0%                      | -90%                              | Cao            |                          99 |                        1273 |                         3182 |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| túi xách xl nữ                          | VND      |                    50 | 0%                      | 0%                                | Cao            |                         100 |                             |                              |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| túi xách đen nữ                         | VND      |                    50 | 0%                      | 0%                                | Cao            |                         100 |                        1052 |                         4692 |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| túi xách đeo chéo cho nữ                | VND      |                    50 | 0%                      | 0%                                | Cao            |                         100 |                        1018 |                         1693 |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| túi xách đeo chéo cute                  | VND      |                    50 | 0%                      | -100%                             | Không xác định |                             |                             |                              |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| túi xách đeo chéo hàn quốc              | VND      |                    50 | 0%                      | 0%                                | Cao            |                         100 |                             |                              |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| túi xách đeo chéo nhỏ gọn xinh xắn      | VND      |                    50 | 0%                      | 0%                                | Cao            |                         100 |                             |                              |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| túi xách đeo chéo nữ cao cấp            | VND      |                    50 | 0%                      | 0%                                | Cao            |                         100 |                        1273 |                         2452 |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| túi xách đeo chéo nữ hàng hiệu          | VND      |                    50 | 0%                      | 0%                                | Cao            |                         100 |                        1018 |                         2950 |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| túi xách đeo chéo nữ mini               | VND      |                    50 | 0%                      | 0%                                | Cao            |                         100 |                             |                              |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| túi xách đeo chéo nữ đẹp                | VND      |                    50 | 0%                      | -90%                              | Cao            |                          73 |                             |                              |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| túi xách đeo chéo đi học                | VND      |                    50 | 0%                      | 0%                                | Cao            |                         100 |                             |                              |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| túi xách đeo chéo đẹp                   | VND      |                    50 | ∞                       | 0%                                | Cao            |                         100 |                             |                              |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| túi xách đeo nữ                         | VND      |                    50 | 0%                      | 0%                                | Cao            |                         100 |                        1018 |                         2905 |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| túi xách đeo vai nữ                     | VND      |                    50 | 0%                      | 0%                                | Cao            |                         100 |                             |                              |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| túi xách đeo vai nữ cao cấp             | VND      |                    50 | 0%                      | 0%                                | Cao            |                         100 |                        1019 |                         3512 |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| túi xách đeo vai nữ đẹp                 | VND      |                    50 | 0%                      | 0%                                | Cao            |                         100 |                             |                              |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| túi xách đi biển cho nữ                 | VND      |                    50 | 0%                      | 0%                                | Cao            |                         100 |                             |                              |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| túi xách đi chơi cho nữ                 | VND      |                    50 | 0%                      | 0%                                | Cao            |                         100 |                        1018 |                         3109 |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| túi xách đi du lịch nữ                  | VND      |                    50 | 0%                      | 0%                                | Cao            |                         100 |                             |                              |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| túi xách đi dạy nữ                      | VND      |                    50 | 0%                      | -90%                              | Cao            |                         100 |                             |                              |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| túi xách đi học nữ                      | VND      |                    50 | 0%                      | 0%                                | Cao            |                          78 |                             |                              |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| túi xách đi làm cho nữ                  | VND      |                    50 | 0%                      | 0%                                | Cao            |                         100 |                        1273 |                         3928 |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| túi xách đi làm nữ                      | VND      |                    50 | 0%                      | 0%                                | Cao            |                         100 |                        1018 |                         4073 |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| túi xách đẹp cho nữ công sở             | VND      |                    50 | 0%                      | 0%                                | Cao            |                         100 |                        1018 |                         2353 |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| túi xách đẹp cho phụ nữ trung niên      | VND      |                    50 | 0%                      | 0%                                | Cao            |                         100 |                             |                              |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| túi xách đẹp cho tuổi trung niên        | VND      |                    50 | ∞                       | 0%                                | Cao            |                         100 |                             |                              |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| túi xách đẹp hàng hiệu                  | VND      |                    50 | 0%                      | 0%                                | Cao            |                         100 |                             |                              |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| túi xách đẹp nữ                         | VND      |                    50 | 0%                      | 0%                                | Cao            |                         100 |                             |                              |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| túi xách đựng ipad cho nữ               | VND      |                    50 | 0%                      | 0%                                | Cao            |                         100 |                        1018 |                         5091 |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| túi xách đựng laptop cho nữ             | VND      |                    50 | 0%                      | 0%                                | Cao            |                         100 |                        1273 |                         5657 |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| túi xách đựng tài liệu nữ               | VND      |                    50 | 0%                      | 0%                                | Cao            |                         100 |                        1018 |                         4112 |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
